,City,Date,Card Type,Exp Type,Gender,Amount,Year,Month
0,"Delhi, India",2014-10-29,Gold,Bills,Female,82475,2014,10
1,"Greater Mumbai, India",2014-08-22,Platinum,Bills,Female,32555,2014,8
2,"Bengaluru, India",2014-08-27,Silver,Bills,Female,101738,2014,8
3,"Greater Mumbai, India",2014-04-12,Signature,Bills,Female,123424,2014,4
4,"Bengaluru, India",2015-05-05,Gold,Bills,Female,171574,2015,5
5,"Delhi, India",2014-09-08,Silver,Bills,Female,100036,2014,9
6,"Delhi, India",2015-02-24,Gold,Bills,Female,143250,2015,2
7,"Greater Mumbai, India",2014-06-26,Platinum,Bills,Female,150980,2014,6
8,"Delhi, India",2014-03-28,Silver,Bills,Female,192247,2014,3
9,"Delhi, India",2014-09-01,Platinum,Bills,Female,67932,2014,9
10,"Delhi, India",2014-06-22,Platinum,Bills,Female,280061,2014,6
11,"Greater Mumbai, India",2013-12-07,Signature,Bills,Female,278036,2013,12
12,"Greater Mumbai, India",2014-08-07,Gold,Bills,Female,19226,2014,8
13,"Delhi, India",2014-04-27,Signature,Bills,Female,254359,2014,4
14,"Greater Mumbai, India",2014-08-15,Signature,Bills,Female,302834,2014,8
15,"Greater Mumbai, India",2014-11-28,Platinum,Bills,Female,647116,2014,11
16,"Greater Mumbai, India",2014-06-14,Signature,Bills,Female,421878,2014,6
17,"Greater Mumbai, India",2015-03-30,Gold,Bills,Female,986379,2015,3
18,"Greater Mumbai, India",2014-03-15,Platinum,Bills,Female,213047,2014,3
19,"Greater Mumbai, India",2013-11-09,Platinum,Bills,Female,735566,2013,11
20,"Delhi, India",2014-04-04,Signature,Bills,Female,366102,2014,4
21,"Delhi, India",2014-07-01,Signature,Bills,Female,809623,2014,7
22,"Greater Mumbai, India",2015-03-27,Silver,Bills,Female,467014,2015,3
23,"Ahmedabad, India",2013-10-11,Gold,Bills,Female,668568,2013,10
24,"Ahmedabad, India",2014-03-26,Gold,Bills,Female,339112,2014,3
25,"Delhi, India",2014-09-27,Silver,Bills,Female,622170,2014,9
26,"Bengaluru, India",2014-03-23,Platinum,Bills,Female,434427,2014,3
27,"Greater Mumbai, India",2014-05-17,Signature,Bills,Female,655846,2014,5
28,"Bengaluru, India",2015-01-18,Platinum,Bills,Female,987935,2015,1
29,"Delhi, India",2015-04-18,Gold,Bills,Female,702774,2015,4
30,"Bengaluru, India",2014-07-31,Signature,Bills,Female,225392,2014,7
31,"Greater Mumbai, India",2015-02-11,Gold,Bills,Female,296573,2015,2
32,"Ahmedabad, India",2013-11-24,Platinum,Bills,Female,227702,2013,11
33,"Ahmedabad, India",2014-11-08,Gold,Bills,Female,864090,2014,11
34,"Ahmedabad, India",2014-09-06,Signature,Bills,Female,440605,2014,9
35,"Ahmedabad, India",2015-03-24,Platinum,Bills,Female,954660,2015,3
36,"Ahmedabad, India",2014-01-01,Signature,Bills,Female,255577,2014,1
37,"Ahmedabad, India",2014-07-12,Silver,Bills,Female,337352,2014,7
38,"Ahmedabad, India",2014-02-04,Platinum,Bills,Female,660244,2014,2
39,"Delhi, India",2015-02-03,Silver,Bills,Female,401351,2015,2
40,"Delhi, India",2013-10-27,Platinum,Bills,Female,678842,2013,10
41,"Delhi, India",2014-05-11,Gold,Bills,Female,478861,2014,5
42,"Bengaluru, India",2014-11-10,Platinum,Bills,Female,804938,2014,11
43,"Delhi, India",2015-01-30,Silver,Bills,Female,888341,2015,1
44,"Bengaluru, India",2014-04-19,Platinum,Bills,Female,262414,2014,4
45,"Bengaluru, India",2014-09-08,Gold,Bills,Female,249353,2014,9
46,"Ahmedabad, India",2013-12-10,Gold,Bills,Female,892016,2013,12
47,"Ahmedabad, India",2013-11-04,Platinum,Bills,Female,313626,2013,11
48,"Greater Mumbai, India",2014-06-01,Gold,Bills,Female,314366,2014,6
49,"Greater Mumbai, India",2014-04-27,Signature,Bills,Female,551340,2014,4
50,"Delhi, India",2013-10-04,Signature,Bills,Female,735037,2013,10
51,"Greater Mumbai, India",2014-12-31,Platinum,Bills,Female,574023,2014,12
52,"Ahmedabad, India",2013-12-21,Signature,Bills,Female,402300,2013,12
53,"Delhi, India",2013-12-07,Signature,Bills,Female,733125,2013,12
54,"Greater Mumbai, India",2014-02-07,Signature,Bills,Female,545977,2014,2
55,"Bengaluru, India",2015-05-13,Silver,Bills,Female,371572,2015,5
56,"Ahmedabad, India",2015-01-28,Signature,Bills,Female,326283,2015,1
57,"Delhi, India",2014-12-09,Platinum,Bills,Female,279051,2014,12
58,"Delhi, India",2013-10-08,Platinum,Bills,Female,900101,2013,10
59,"Ahmedabad, India",2014-04-24,Silver,Bills,Female,545286,2014,4
60,"Delhi, India",2015-01-13,Platinum,Bills,Female,722587,2015,1
61,"Bengaluru, India",2014-03-14,Platinum,Bills,Female,411062,2014,3
62,"Delhi, India",2014-02-27,Platinum,Bills,Female,660910,2014,2
63,"Greater Mumbai, India",2013-10-29,Signature,Bills,Female,557370,2013,10
64,"Greater Mumbai, India",2014-06-22,Platinum,Bills,Female,549794,2014,6
65,"Delhi, India",2014-01-23,Platinum,Bills,Female,340133,2014,1
66,"Bengaluru, India",2013-11-10,Gold,Bills,Female,265417,2013,11
67,"Greater Mumbai, India",2013-12-13,Platinum,Bills,Female,358185,2013,12
68,"Greater Mumbai, India",2014-03-22,Gold,Bills,Female,991685,2014,3
69,"Greater Mumbai, India",2015-01-13,Gold,Bills,Female,533762,2015,1
70,"Greater Mumbai, India",2014-05-08,Gold,Bills,Female,829742,2014,5
71,"Delhi, India",2014-02-18,Silver,Bills,Female,441527,2014,2
72,"Delhi, India",2013-10-04,Signature,Bills,Female,550782,2013,10
73,"Greater Mumbai, India",2014-06-14,Platinum,Bills,Female,835872,2014,6
74,"Ahmedabad, India",2014-08-24,Silver,Bills,Female,540497,2014,8
75,"Greater Mumbai, India",2015-04-02,Platinum,Bills,Female,525977,2015,4
76,"Greater Mumbai, India",2014-06-27,Gold,Bills,Female,789393,2014,6
77,"Greater Mumbai, India",2015-02-06,Platinum,Bills,Female,689478,2015,2
78,"Bengaluru, India",2014-03-29,Silver,Bills,Female,499079,2014,3
79,"Ahmedabad, India",2014-04-22,Platinum,Bills,Female,665107,2014,4
80,"Greater Mumbai, India",2014-10-14,Platinum,Bills,Female,998077,2014,10
81,"Ahmedabad, India",2014-02-02,Silver,Bills,Female,934205,2014,2
82,"Bengaluru, India",2015-04-01,Platinum,Bills,Female,823426,2015,4
83,"Ahmedabad, India",2015-01-13,Signature,Bills,Female,282910,2015,1
